grafo,arquivoPesosGerado,qtdVertices,tamPopulacao,qtdGeracoes,taxaMutacao,taxaElitismo,taxaMutacaoAdultos,origem,destino
graph1.txt,pesos0.txt,1000,20,100,1,1,2,1,5
graph1.txt,pesos1.txt,1000,20,1000,1,1,2,1,5
graph1.txt,pesos2.txt,1000,20,100,1,1,10,1,5
graph1.txt,pesos3.txt,1000,20,1000,1,1,10,1,5
graph1.txt,pesos4.txt,1000,20,100,1,10,2,1,5
graph1.txt,pesos5.txt,1000,20,1000,1,10,2,1,5
graph1.txt,pesos6.txt,1000,20,100,1,10,10,1,5
graph1.txt,pesos7.txt,1000,20,1000,1,10,10,1,5
graph1.txt,pesos8.txt,1000,20,100,15,1,2,1,5
graph1.txt,pesos9.txt,1000,20,1000,15,1,2,1,5
graph1.txt,pesos10.txt,1000,20,100,15,1,10,1,5
graph1.txt,pesos11.txt,1000,20,1000,15,1,10,1,5
graph1.txt,pesos12.txt,1000,20,100,15,10,2,1,5
graph1.txt,pesos13.txt,1000,20,1000,15,10,2,1,5
graph1.txt,pesos14.txt,1000,20,100,15,10,10,1,5
graph1.txt,pesos15.txt,1000,20,1000,15,10,10,1,5

graph1.txt,pesos17.txt,1000,20,1000,1,1,2,1,1
graph1.txt,pesos17.txt,1000,20,1000,1,1,2,1,1
graph1.txt,pesos32.txt,1000,20,100,1,1,2,999,5
graph1.txt,pesos33.txt,1000,20,1000,1,1,2,999,5
graph1.txt,pesos35.txt,1000,20,1000,1,1,10,999,5
graph1.txt,pesos36.txt,1000,20,100,1,10,2,999,5
graph1.txt,pesos37.txt,1000,20,1000,1,10,2,999,5
graph1.txt,pesos38.txt,1000,20,100,1,10,10,999,5
graph1.txt,pesos39.txt,1000,20,1000,1,10,10,999,5
graph1.txt,pesos40.txt,1000,20,100,15,1,2,999,5
graph1.txt,pesos41.txt,1000,20,1000,15,1,2,999,5
graph1.txt,pesos42.txt,1000,20,100,15,1,10,999,5
graph1.txt,pesos43.txt,1000,20,1000,15,1,10,999,5
graph1.txt,pesos44.txt,1000,20,100,15,10,2,999,5
graph1.txt,pesos45.txt,1000,20,1000,15,10,2,999,5
graph1.txt,pesos46.txt,1000,20,100,15,10,10,999,5
graph1.txt,pesos47.txt,1000,20,1000,15,10,10,999,5
graph1.txt,pesos48.txt,1000,20,100,1,1,2,999,1
graph1.txt,pesos49.txt,1000,20,1000,1,1,2,999,1
graph1.txt,pesos50.txt,1000,20,100,1,1,10,999,1
graph1.txt,pesos51.txt,1000,20,1000,1,1,10,999,1
graph1.txt,pesos52.txt,1000,20,100,1,10,2,999,1
graph1.txt,pesos53.txt,1000,20,1000,1,10,2,999,1
graph1.txt,pesos54.txt,1000,20,100,1,10,10,999,1
graph1.txt,pesos55.txt,1000,20,1000,1,10,10,999,1
graph1.txt,pesos56.txt,1000,20,100,15,1,2,999,1
graph1.txt,pesos57.txt,1000,20,1000,15,1,2,999,1
graph1.txt,pesos58.txt,1000,20,100,15,1,10,999,1
graph1.txt,pesos59.txt,1000,20,1000,15,1,10,999,1
graph1.txt,pesos60.txt,1000,20,100,15,10,2,999,1
graph1.txt,pesos61.txt,1000,20,1000,15,10,2,999,1
graph1.txt,pesos62.txt,1000,20,100,15,10,10,999,1
graph1.txt,pesos63.txt,1000,20,1000,15,10,10,999,1
graph1.txt,pesos64.txt,1000,80,100,1,1,2,1,5
graph1.txt,pesos65.txt,1000,80,1000,1,1,2,1,5
graph1.txt,pesos66.txt,1000,80,100,1,1,10,1,5
graph1.txt,pesos67.txt,1000,80,1000,1,1,10,1,5
graph1.txt,pesos68.txt,1000,80,100,1,10,2,1,5
graph1.txt,pesos69.txt,1000,80,1000,1,10,2,1,5
graph1.txt,pesos70.txt,1000,80,100,1,10,10,1,5
graph1.txt,pesos71.txt,1000,80,1000,1,10,10,1,5
graph1.txt,pesos72.txt,1000,80,100,15,1,2,1,5
graph1.txt,pesos73.txt,1000,80,1000,15,1,2,1,5
graph1.txt,pesos74.txt,1000,80,100,15,1,10,1,5
graph1.txt,pesos75.txt,1000,80,1000,15,1,10,1,5
graph1.txt,pesos76.txt,1000,80,100,15,10,2,1,5
graph1.txt,pesos77.txt,1000,80,1000,15,10,2,1,5
graph1.txt,pesos78.txt,1000,80,100,15,10,10,1,5
graph1.txt,pesos79.txt,1000,80,1000,15,10,10,1,5
graph1.txt,pesos96.txt,1000,80,100,1,1,2,999,5
graph1.txt,pesos97.txt,1000,80,1000,1,1,2,999,5
graph1.txt,pesos97.txt,1000,80,1000,1,1,2,999,5
graph1.txt,pesos98.txt,1000,80,100,1,1,10,999,5
graph1.txt,pesos99.txt,1000,80,1000,1,1,10,999,5
graph1.txt,pesos100.txt,1000,80,100,1,10,2,999,5
graph1.txt,pesos101.txt,1000,80,1000,1,10,2,999,5
graph1.txt,pesos102.txt,1000,80,100,1,10,10,999,5
graph1.txt,pesos103.txt,1000,80,1000,1,10,10,999,5
graph1.txt,pesos103.txt,1000,80,1000,1,10,10,999,5
graph1.txt,pesos104.txt,1000,80,100,15,1,2,999,5
graph1.txt,pesos105.txt,1000,80,1000,15,1,2,999,5
graph1.txt,pesos106.txt,1000,80,100,15,1,10,999,5
graph1.txt,pesos107.txt,1000,80,1000,15,1,10,999,5
graph1.txt,pesos108.txt,1000,80,100,15,10,2,999,5
graph1.txt,pesos109.txt,1000,80,1000,15,10,2,999,5
graph1.txt,pesos110.txt,1000,80,100,15,10,10,999,5
graph1.txt,pesos111.txt,1000,80,1000,15,10,10,999,5
graph1.txt,pesos112.txt,1000,80,100,1,1,2,999,1
graph1.txt,pesos113.txt,1000,80,1000,1,1,2,999,1
graph1.txt,pesos114.txt,1000,80,100,1,1,10,999,1
graph1.txt,pesos115.txt,1000,80,1000,1,1,10,999,1
graph1.txt,pesos116.txt,1000,80,100,1,10,2,999,1
graph1.txt,pesos117.txt,1000,80,1000,1,10,2,999,1
graph1.txt,pesos118.txt,1000,80,100,1,10,10,999,1
graph1.txt,pesos119.txt,1000,80,1000,1,10,10,999,1
graph1.txt,pesos120.txt,1000,80,100,15,1,2,999,1
graph1.txt,pesos121.txt,1000,80,1000,15,1,2,999,1
graph1.txt,pesos122.txt,1000,80,100,15,1,10,999,1
graph1.txt,pesos123.txt,1000,80,1000,15,1,10,999,1
graph1.txt,pesos124.txt,1000,80,100,15,10,2,999,1
